,State,City,Population,Total_law_enforcement_employees,Total_crime,employees_perCapita,crime_perCapita
489,CONNECTICUT,Berlin,20440.0,52,498.0,0.002544031311154599,0.02436399217221135
490,CONNECTICUT,Bethel,20066.0,52,106.0,0.0025914482208711253,0.005282567527160371
491,CONNECTICUT,Bloomfield,21254.0,59,593.0,0.00277594805683636,0.027900630469558672
492,CONNECTICUT,Branford,27707.0,62,418.0,0.002237701663839463,0.01508644024975638
493,CONNECTICUT,Bridgeport,143394.0,378,2976.0,0.0026360935604000167,0.020754006443784258
494,CONNECTICUT,Bristol,59659.0,141,824.0,0.0023634321728490254,0.013811830570408488
495,CONNECTICUT,Brookfield,16944.0,44,139.0,0.0025967894239848914,0.008203493862134089
496,CONNECTICUT,Canton,10223.0,26,67.0,0.002543284750073364,0.006553849163650592
497,CONNECTICUT,Cheshire,28755.0,58,213.0,0.002017040514693097,0.007407407407407408
498,CONNECTICUT,Clinton,12846.0,37,342.0,0.002880274015257668,0.026623073330219522
499,CONNECTICUT,Coventry,12384.0,18,58.0,0.0014534883720930232,0.004683462532299742
500,CONNECTICUT,Cromwell,13750.0,37,309.0,0.002690909090909091,0.022472727272727273
501,CONNECTICUT,Danbury,84631.0,146,1036.0,0.0017251361794141627,0.012241377273103236
502,CONNECTICUT,Darien,21790.0,67,374.0,0.003074804956402019,0.017163836622303807
503,CONNECTICUT,Derby,12197.0,36,390.0,0.0029515454619988522,0.0319750758383209
504,CONNECTICUT,East Hampton,12726.0,19,85.0,0.001493006443501493,0.006679239352506679
505,CONNECTICUT,East Hartford,49470.0,156,1717.0,0.003153426318981201,0.03470790378006873
506,CONNECTICUT,East Haven,28377.0,76,711.0,0.0026782253233252284,0.025055502695845226
507,CONNECTICUT,East Lyme,18467.0,34,82.0,0.001841122001407917,0.004440353062219094
508,CONNECTICUT,Easton,7462.0,19,84.0,0.0025462342535513267,0.01125703564727955
509,CONNECTICUT,East Windsor,11702.0,36,418.0,0.0030763971970603314,0.03572038967697829
510,CONNECTICUT,Enfield,43452.0,119,727.0,0.0027386541471048514,0.016731105587775016
511,CONNECTICUT,Fairfield,62473.0,129,1053.0,0.0020648920333584107,0.01685528148160005
512,CONNECTICUT,Farmington,25510.0,59,419.0,0.0023128185025480205,0.016424931399451195
513,CONNECTICUT,Glastonbury,34424.0,72,495.0,0.0020915640250987683,0.014379502672554032
514,CONNECTICUT,Granby,11585.0,21,98.0,0.0018126888217522659,0.008459214501510574
515,CONNECTICUT,Greenwich,62917.0,172,508.0,0.0027337603509385382,0.008074129408585914
516,CONNECTICUT,Groton,8823.0,33,99.0,0.003740224413464808,0.011220673240394424
518,CONNECTICUT,Groton Town,28753.0,73,328.0,0.0025388655096859458,0.011407505303794387
519,CONNECTICUT,Guilford,22009.0,45,245.0,0.0020446181107728655,0.011131809714207824
520,CONNECTICUT,Hamden,60165.0,116,1671.0,0.0019280312474029752,0.027773622538020445
521,CONNECTICUT,Hartford,121160.0,419,3187.0,0.003458237041928029,0.026304060746120832
522,CONNECTICUT,Ledyard,14534.0,31,54.0,0.002132929682124673,0.003715425897894592
523,CONNECTICUT,Madison,17890.0,41,72.0,0.0022917831190609277,0.004024594745667971
524,CONNECTICUT,Manchester,57274.0,143,1877.0,0.002496769913049551,0.032772287599958094
525,CONNECTICUT,Meriden,58799.0,128,1493.0,0.002176907770540315,0.025391588292317895
526,CONNECTICUT,Middlebury,7851.0,14,80.0,0.0017832123296395363,0.010189784740797351
527,CONNECTICUT,Middletown,45852.0,120,650.0,0.0026171159382360636,0.014176044665445345
528,CONNECTICUT,Milford,54984.0,121,1153.0,0.002200640186235996,0.02096973665066201
529,CONNECTICUT,Monroe,19311.0,54,96.0,0.0027963336958210347,0.004971259903681839
530,CONNECTICUT,Naugatuck,30810.0,86,466.0,0.0027913015254787408,0.015124959428756897
531,CONNECTICUT,New Britain,72093.0,166,2217.0,0.00230258138792948,0.030751945403853356
532,CONNECTICUT,New Canaan,20147.0,53,163.0,0.002630664615079168,0.008090534570903857
533,CONNECTICUT,New Haven,130903.0,361,5078.0,0.002757767201668411,0.03879208268718058
