"","Date Rptd","DATE OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Vict Birth Year"
"508397","2022-09-26","2022-09-26","West Valley","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","33","F","H","1990"
"508398","2022-02-05","2022-02-05","West Valley","BATTERY - SIMPLE ASSAULT","29","F","B","1994"
"508399","2022-08-08","2022-08-08","N Hollywood","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","33","M","H","1990"
"508400","2022-06-15","2022-06-15","Harbor","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","12","M","B","2011"
"508401","2022-06-02","2022-06-02","Newton","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","24","F","H","1999"
"508402","2022-06-26","2022-06-26","Northeast","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","72","M","B","1951"
"508403","2022-05-13","2022-05-13","77th Street","VIOLATION OF RESTRAINING ORDER","52","F","H","1971"
"508404","2022-10-18","2022-10-18","Pacific","THEFT OF IDENTITY","30","M","W","1993"
"508405","2022-09-23","2022-09-23","Foothill","TRESPASSING","45","F","W","1978"
"508406","2022-10-27","2022-10-27","Central","PICKPOCKET","34","F","W","1989"
"508407","2022-08-02","2022-08-02","Southwest","BIKE - STOLEN","19","M","W","2004"
"508408","2022-09-29","2022-09-29","Olympic","BUNCO, GRAND THEFT","72","M","H","1951"
"508409","2022-11-16","2022-11-16","Harbor","VIOLATION OF RESTRAINING ORDER","36","F","H","1987"
"508410","2022-04-15","2022-04-15","Southwest","THEFT OF IDENTITY","23","F","W","2000"
"508411","2022-10-16","2022-10-16","N Hollywood","THEFT PLAIN - PETTY ($950 & UNDER)","29","F","B","1994"
"508412","2022-12-10","2022-12-10","Topanga","THEFT OF IDENTITY","34","F","H","1989"
"508413","2022-10-20","2022-10-20","Central","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","65","F","W","1958"
"508414","2022-02-09","2022-02-09","Northeast","VIOLATION OF RESTRAINING ORDER","19","F","H","2004"
"508415","2022-03-23","2022-03-23","Harbor","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","24","M","H","1999"
"508416","2022-11-02","2022-11-02","Hollywood","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","45","F","W","1978"
"508417","2022-12-28","2022-12-28","Southwest","BURGLARY","22","X","X","2001"
"508418","2022-11-09","2022-11-09","Mission","BATTERY WITH SEXUAL CONTACT","32","F","H","1991"
"508419","2022-09-10","2022-09-10","Pacific","BATTERY - SIMPLE ASSAULT","29","M","B","1994"
"508420","2022-03-05","2022-03-05","Van Nuys","THEFT OF IDENTITY","48","F","B","1975"
"508421","2022-12-01","2022-12-01","Foothill","VIOLATION OF RESTRAINING ORDER","43","F","H","1980"
"508422","2022-10-13","2022-10-13","Mission","BATTERY - SIMPLE ASSAULT","50","M","H","1973"
"508423","2022-07-25","2022-07-25","Pacific","BURGLARY","38","M","O","1985"
"508424","2022-08-28","2022-08-28","Mission","THEFT OF IDENTITY","33","F","H","1990"
"508425","2022-09-05","2022-09-05","Hollenbeck","BURGLARY","20","M","H","2003"
"508426","2022-07-14","2022-07-14","Central","OTHER MISCELLANEOUS CRIME","45","M","B","1978"
"508427","2022-03-14","2022-03-14","Harbor","INTIMATE PARTNER - SIMPLE ASSAULT","46","F","H","1977"
"508428","2022-06-01","2022-06-01","Van Nuys","BOMB SCARE","60","F","W","1963"
"508429","2022-05-26","2022-05-26","West LA","BUNCO, GRAND THEFT","22","M","A","2001"
"508430","2022-06-20","2022-06-20","Southeast","STALKING","33","F","H","1990"
"508431","2022-12-03","2022-12-03","Mission","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","41","M","H","1982"
"508432","2022-01-29","2022-01-29","Harbor","VEHICLE - STOLEN","51","M","H","1972"
"508433","2022-08-16","2022-08-16","Wilshire","ROBBERY","22","X","X","2001"
"508434","2022-01-21","2022-01-21","Pacific","THEFT OF IDENTITY","64","M","H","1959"
"508435","2023-01-08","2023-01-08","Southeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","45","M","H","1978"
"508436","2022-03-25","2022-03-25","Central","BRANDISH WEAPON","29","M","H","1994"
"508437","2022-12-07","2022-12-07","77th Street","INTIMATE PARTNER - SIMPLE ASSAULT","32","M","H","1991"
"508438","2022-10-24","2022-10-24","Harbor","THEFT OF IDENTITY","27","F","B","1996"
"508439","2022-04-08","2022-04-08","Newton","BATTERY - SIMPLE ASSAULT","53","M","H","1970"
"508440","2022-09-14","2022-09-14","77th Street","THEFT OF IDENTITY","61","F","H","1962"
"508441","2022-09-09","2022-09-09","Southwest","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","60","F","B","1963"
"508442","2022-10-04","2022-10-04","Central","THEFT PLAIN - PETTY ($950 & UNDER)","41","F","K","1982"
"508443","2022-03-10","2022-03-10","N Hollywood","BRANDISH WEAPON","43","M","H","1980"
"508444","2022-01-15","2022-01-15","Mission","BURGLARY FROM VEHICLE","31","F","W","1992"
"508445","2022-07-18","2022-07-18","Newton","THEFT OF IDENTITY","31","F","B","1992"
"508446","2022-06-10","2022-06-10","Olympic","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","28","M","F","1995"
"508447","2022-12-30","2022-12-30","Southeast","BURGLARY FROM VEHICLE","46","F","H","1977"
"508448","2022-08-13","2022-08-13","Harbor","BURGLARY FROM VEHICLE","26","M","B","1997"
"508449","2022-09-30","2022-09-30","Pacific","THEFT OF IDENTITY","32","M","W","1991"
"508450","2022-07-20","2022-07-20","Central","BURGLARY FROM VEHICLE","43","M","B","1980"
"508451","2022-02-08","2022-02-08","Northeast","THEFT OF IDENTITY","73","F","W","1950"
"508452","2022-04-01","2022-04-01","Southeast","THEFT OF IDENTITY","39","F","O","1984"
"508453","2022-08-22","2022-08-22","Hollenbeck","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","35","F","H","1988"
"508454","2022-09-09","2022-09-09","Central","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","20","M","K","2003"
"508455","2022-02-26","2022-02-26","Van Nuys","OTHER MISCELLANEOUS CRIME","39","F","H","1984"
"508456","2022-06-28","2022-06-28","Southwest","BATTERY - SIMPLE ASSAULT","20","M","H","2003"
"508457","2022-04-05","2022-04-05","West LA","BURGLARY","24","M","W","1999"
"508458","2022-06-10","2022-06-10","Wilshire","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","34","F","C","1989"
"508459","2022-03-22","2022-03-22","Southwest","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","45","F","B","1978"
"508460","2022-02-05","2022-02-05","Olympic","BATTERY - SIMPLE ASSAULT","27","M","H","1996"
"508461","2022-07-04","2022-07-04","Mission","BURGLARY","54","M","W","1969"
"508462","2022-12-07","2022-12-07","77th Street","BRANDISH WEAPON","34","M","H","1989"
"508463","2022-12-06","2022-12-06","Olympic","INTIMATE PARTNER - SIMPLE ASSAULT","30","F","B","1993"
"508464","2022-06-12","2022-06-12","Van Nuys","ROBBERY","32","M","W","1991"
"508465","2022-07-30","2022-07-30","Northeast","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","39","M","W","1984"
"508466","2022-04-16","2022-04-16","Pacific","ATTEMPTED ROBBERY","23","M","H","2000"
"508467","2022-07-02","2022-07-02","Mission","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","23","F","W","2000"
"508468","2022-09-02","2022-09-02","Southwest","BURGLARY","22","X","X","2001"
"508469","2022-01-11","2022-01-11","N Hollywood","CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT","14","F","H","2009"
"508470","2022-04-09","2022-04-09","West LA","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","36","F","O","1987"
"508471","2022-08-17","2022-08-17","Newton","THEFT OF IDENTITY","35","F","B","1988"
"508472","2022-10-11","2022-10-11","West Valley","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","40","M","A","1983"
"508473","2022-11-01","2022-11-01","Southwest","BURGLARY FROM VEHICLE","39","F","B","1984"
"508474","2022-06-15","2022-06-15","Topanga","THEFT OF IDENTITY","36","F","B","1987"
"508475","2022-10-22","2022-10-22","Mission","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","46","F","W","1977"
"508476","2022-12-16","2022-12-16","Van Nuys","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","50","M","W","1973"
"508477","2022-08-20","2022-08-20","West Valley","CRIMINAL THREATS - NO WEAPON DISPLAYED","75","M","O","1948"
"508478","2022-02-21","2022-02-21","Northeast","ROBBERY","17","F","H","2006"
"508479","2022-03-22","2022-03-22","Southeast","ROBBERY","39","M","H","1984"
"508480","2022-06-05","2022-06-05","Rampart","BATTERY - SIMPLE ASSAULT","22","F","H","2001"
"508481","2022-03-15","2022-03-15","Central","THEFT OF IDENTITY","46","F","B","1977"
"508482","2022-09-09","2022-09-09","Newton","BURGLARY","43","F","H","1980"
"508483","2022-05-11","2022-05-11","77th Street","BATTERY - SIMPLE ASSAULT","54","M","H","1969"
"508484","2022-01-17","2022-01-17","Southwest","VIOLATION OF RESTRAINING ORDER","44","M","B","1979"
"508485","2022-07-04","2022-07-04","West Valley","BURGLARY FROM VEHICLE","46","F","O","1977"
"508486","2022-08-30","2022-08-30","Devonshire","BURGLARY","38","M","O","1985"
"508487","2022-03-19","2022-03-19","77th Street","THEFT OF IDENTITY","43","F","B","1980"
"508488","2022-04-13","2022-04-13","Hollenbeck","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","47","F","H","1976"
"508489","2022-07-27","2022-07-27","Pacific","BURGLARY FROM VEHICLE","43","F","W","1980"
